data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2020-05-24,1009.475,15.025,86.08333333333333,2.1416666666666666,7.800000000000001,5.937896999999999,16.6,13.8,145,6,1590278400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,68.0,6.0,72.0,2,18.0,19.0,15.0,18.0,24.0
2020-05-25,1005.2416666666667,15.6625,65.58333333333333,3.3874999999999997,0.2,13.366375,20.2,12.9,146,0,1590364800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,56.0,3.0,32.0,1,19.0,15.0,18.0,24.0,10.0
2020-05-26,1008.8458333333333,14.950000000000001,64.91666666666667,2.5208333333333335,0.0,11.336269,17.7,13.3,147,1,1590451200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,35.0,3.0,45.0,1,15.0,18.0,24.0,10.0,17.0
2020-05-27,1013.0208333333334,13.108333333333334,77.29166666666667,1.1833333333333333,0.0,13.314860000000001,19.3,9.1,148,2,1590537600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,41.0,6.0,4.0,2,18.0,24.0,10.0,17.0,13.0
2020-05-28,1013.3083333333334,14.466666666666667,75.375,0.7208333333333333,0.0,13.321273000000001,26.3,7.8,149,3,1590624000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,55.5,4.0,71.0,0,24.0,10.0,17.0,13.0,20.0
2020-05-29,1011.9125,16.233333333333334,75.5,0.8250000000000001,0.0,13.096039,24.9,10.1,150,4,1590710400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24,61.5,5.0,5.0,1,10.0,17.0,13.0,20.0,22.0
2020-05-30,1010.1999999999999,16.133333333333333,77.54166666666667,0.7458333333333332,0.0,12.721543,23.8,11.2,151,5,1590796800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,69.5,4.0,66.0,0,17.0,13.0,20.0,22.0,22.0
2020-05-31,1009.1291666666666,15.129166666666668,81.375,1.4875,1.4,7.349371000000001,20.0,12.2,152,6,1590883200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,64.0,4.0,1.0,1,13.0,20.0,22.0,22.0,22.0
2020-06-01,1013.3583333333332,11.608333333333334,76.70833333333333,1.5875000000000001,0.4,12.094471,15.4,8.1,153,0,1590969600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,26.0,4.0,67.0,1,20.0,22.0,22.0,22.0,17.0
2020-06-02,1014.4291666666667,11.658333333333333,79.625,1.1291666666666667,0.0,10.551578,16.6,8.1,154,1,1591056000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,14.0,5.0,12.0,2,22.0,22.0,22.0,17.0,12.0
